example,entity,intent,norm
QTY-GEN,금리,INTEREST,이자
QTY-GEN,수익,INTEREST,이자
QTY-GEN,수수료,COMMISSION,수수료
QTY-GEN,비용,COMMISSION,수수료
ISSUE,카카오 은행 통합 내역,KAKAOBANK-STATEMENT,카카오뱅크 사용 및 구매 내역
ISSUE,카카오 카드 내역,KAKAOBANK-STATEMENT,카카오뱅크 사용 및 구매 내역
ISSUE,카카오 내역서,KAKAOBANK-STATEMENT,카카오뱅크 사용 및 구매 내역
ISSUE,카카오 현금 영수증,KAKAOBANK-STATEMENT,카카오뱅크 사용 및 구매 내역
ISSUE,카카오 청구서,KAKAOBANK-STATEMENT,카카오뱅크 사용 및 구매 내역
ISSUE,카카오 구매 내역,KAKAOBANK-STATEMENT,카카오뱅크 사용 및 구매 내역
ISSUE,카카오 뱅크 모바일 영수증,KAKAOBANK-STATEMENT,카카오뱅크 사용 및 구매 내역
ISSUE,카카오 뱅크 명세서,KAKAOBANK-STATEMENT,카카오뱅크 사용 및 구매 내역
ISSUE,카카오에서 카드 결제 내역,KAKAOBANK-STATEMENT,카카오뱅크 사용 및 구매 내역
ISSUE,kakao 결제 내역,KAKAOBANK-STATEMENT,카카오뱅크 사용 및 구매 내역
ISSUE,카카오은행 사용 내역,KAKAOBANK-STATEMENT,카카오뱅크 사용 및 구매 내역
ISSUE,카뱅 영수증,KAKAOBANK-STATEMENT,카카오뱅크 사용 및 구매 내역
ISSUE,카뱅 거래 내역,KAKAOBANK-STATEMENT,카카오뱅크 사용 및 구매 내역
ISSUE,카카오뱅크 쇼핑 내역,KAKAOBANK-STATEMENT,카카오뱅크 사용 및 구매 내역
ISSUE,KAKAO에서 내역,KAKAOBANK-STATEMENT,카카오뱅크 사용 및 구매 내역
ISSUE,카카오 은행 카드,KAKAOBANK-CARD,카카오뱅크 카드
ISSUE,카카오 은행 모바일 교통 카드,KAKAOBANK-CARD,카카오뱅크 카드
ISSUE,카카오 카드,KAKAOBANK-CARD,카카오뱅크 카드
ISSUE,카카오 체크 카드,KAKAOBANK-CARD,카카오뱅크 카드
ISSUE,카카오 교통 카드,KAKAOBANK-CARD,카카오뱅크 카드
ISSUE,카카오 후불 카드,KAKAOBANK-CARD,카카오뱅크 카드
ISSUE,카카오 뱅크 mini카드,KAKAOBANK-CARD,카카오뱅크 카드
ISSUE,카카오 프렌즈 체크카드,KAKAOBANK-CARD,카카오뱅크 카드
ISSUE,kakao 선불 카드,KAKAOBANK-CARD,카카오뱅크 카드
ISSUE,카뱅 신용 카드,KAKAOBANK-CARD,카카오뱅크 카드
ISSUE,카뱅 카드,KAKAOBANK-CARD,카카오뱅크 카드
ISSUE,카뱅 증권사 주식계좌,KAKAOBANK-CARD,카카오뱅크 카드
ISSUE,카카오뱅크 모바일 카드,KAKAOBANK-CARD,카카오뱅크 카드
ISSUE,KAKAO카드,KAKAOBANK-CARD,카카오뱅크 카드
ISSUE,카카오체크카드,KAKAOBANK-CARD,카카오뱅크 카드
ISSUE,카뱅 보험 계좌,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,카카오 휴면 계좌,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,카카오 기존 계좌,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,카카오 펀드 통장,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,카카오 주식 계좌,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,카카오 보험 통장,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,카카오 계좌,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,카카오 통장,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,카카오 결제 계좌,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,카카오 은행 연금 계좌,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,카카오 은행 주식 통장,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,카카오 은행 통장,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,카카오 일반 은행 계좌,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,카카오 일반 은행 통장,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,카카오 외환 계좌,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,카카오 외환 통장,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,카카오 뱅크 적금 계좌,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,카카오 뱅크 신규 통장,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,카카오 뱅크 다른 은행 계좌,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,카카오 뱅크 다른 은행 통장,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,카카오 증권사 주식계좌,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,카카오에서 기존 통장,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,kakao 예금 계좌,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,kakao 증권 계좌,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,kakao 증권 통장,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,kakao 계좌,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,KAKAO 청약 계좌,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,KAKAO 결제 통장,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,카카오은행 펀드 계좌,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,카카오은행 타행 통장,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,카뱅 적금 통장,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,카뱅 신규 계좌,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,카뱅 대출 계좌,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,카뱅 타은행 통장,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,카카오뱅크 연금 통장,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,Kakao 대출 통장,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,카뱅에서 타은행 계좌,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,카뱅계좌,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,kakao에서 타행 계좌,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,카카오예금 통장,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,kakao청약 통장,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,카카오휴면 통장,KAKAOBANK-BANK-ACCOUNT,카카오뱅크 통장 계좌
ISSUE,토스 은행 통합 내역,TOSS-STATEMENT,토스 사용 및 구매 내역
ISSUE,토스 카드 내역,TOSS-STATEMENT,토스 사용 및 구매 내역
ISSUE,토스 내역서,TOSS-STATEMENT,토스 사용 및 구매 내역
ISSUE,토스 현금 영수증,TOSS-STATEMENT,토스 사용 및 구매 내역
ISSUE,토스 청구서,TOSS-STATEMENT,토스 사용 및 구매 내역
ISSUE,토스 구매 내역,TOSS-STATEMENT,토스 사용 및 구매 내역
ISSUE,토스 뱅크 모바일 영수증,TOSS-STATEMENT,토스 사용 및 구매 내역
ISSUE,토스 뱅크 명세서,TOSS-STATEMENT,토스 사용 및 구매 내역
ISSUE,토스에서 카드 결제 내역,TOSS-STATEMENT,토스 사용 및 구매 내역
ISSUE,toss 결제 내역,TOSS-STATEMENT,토스 사용 및 구매 내역
ISSUE,토스은행 사용 내역,TOSS-STATEMENT,토스 사용 및 구매 내역
ISSUE,토뱅 영수증,TOSS-STATEMENT,토스 사용 및 구매 내역
ISSUE,토뱅 거래 내역,TOSS-STATEMENT,토스 사용 및 구매 내역
ISSUE,토스뱅크 쇼핑 내역,TOSS-STATEMENT,토스 사용 및 구매 내역
ISSUE,TOSS에서 내역,TOSS-STATEMENT,토스 사용 및 구매 내역
ISSUE,토스 은행 카드,TOSS-CARD,토스 카드
ISSUE,토스 은행 모바일 교통 카드,TOSS-CARD,토스 카드
ISSUE,토스 카드,TOSS-CARD,토스 카드
ISSUE,토스 체크 카드,TOSS-CARD,토스 카드
ISSUE,토스 교통 카드,TOSS-CARD,토스 카드
ISSUE,토스 후불 카드,TOSS-CARD,토스 카드
ISSUE,toss 선불 카드,TOSS-CARD,토스 카드
ISSUE,토뱅 신용 카드,TOSS-CARD,토스 카드
ISSUE,토뱅 카드,TOSS-CARD,토스 카드
ISSUE,토스뱅크 모바일 카드,TOSS-CARD,토스 카드
ISSUE,토스뱅크 머니카드,TOSS-CARD,토스 카드
ISSUE,TOSS카드,TOSS-CARD,토스 카드
ISSUE,토스체크카드,TOSS-CARD,토스 카드
ISSUE,토스머니 카드,TOSS-CARD,토스 카드
ISSUE,토스머니카드,TOSS-CARD,토스 카드
ISSUE,TOSS 보험 계좌,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,토스 휴면 계좌,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,토스 기존 계좌,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,토스 펀드 통장,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,토스 주식 계좌,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,토스 보험 통장,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,토스 계좌,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,토스 통장,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,토스 결제 계좌,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,토스 은행 연금 계좌,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,토스 은행 주식 통장,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,토스 은행 통장,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,토스 일반 은행 계좌,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,토스 일반 은행 통장,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,토스 외환 계좌,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,토스 외환 통장,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,토스 한도 제한 계좌,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,토스 뱅크 적금 계좌,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,토스 뱅크 신규 통장,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,토스 뱅크 다른 은행 계좌,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,토스 뱅크 다른 은행 통장,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,토스 뱅크 한도 제한 계좌,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,토스에서 기존 통장,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,toss 예금 계좌,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,toss 증권 계좌,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,toss 증권 통장,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,toss 계좌,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,TOSS 청약 계좌,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,TOSS 결제 통장,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,토스은행 펀드 계좌,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,토스은행 타행 통장,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,토뱅 적금 통장,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,토뱅 신규 계좌,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,토뱅 대출 계좌,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,토뱅 타은행 통장,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,토뱅 한도제한 계좌,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,토스뱅크 연금 통장,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,Toss 대출 통장,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,토뱅에서 타은행 계좌,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,토뱅계좌,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,toss에서 타행 계좌,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,토스예금 통장,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,toss청약 통장,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,토스휴면 통장,TOSS-BANK-ACCOUNT,토스 통장 계좌
ISSUE,결제 내역,STATEMENT,사용 및 구매 내역
ISSUE,카드 결제 내역,STATEMENT,사용 및 구매 내역
ISSUE,카드 내역,STATEMENT,사용 및 구매 내역
ISSUE,모바일 영수증,STATEMENT,사용 및 구매 내역
ISSUE,사용 내역,STATEMENT,사용 및 구매 내역
ISSUE,내역서,STATEMENT,사용 및 구매 내역
ISSUE,영수증,STATEMENT,사용 및 구매 내역
ISSUE,현금 영수증,STATEMENT,사용 및 구매 내역
ISSUE,청구서,STATEMENT,사용 및 구매 내역
ISSUE,통합 내역,STATEMENT,사용 및 구매 내역
ISSUE,내역,STATEMENT,사용 및 구매 내역
ISSUE,쇼핑 내역,STATEMENT,사용 및 구매 내역
ISSUE,거래 내역,STATEMENT,사용 및 구매 내역
ISSUE,구매 내역,STATEMENT,사용 및 구매 내역
ISSUE,명세서,STATEMENT,사용 및 구매 내역
ISSUE,신용 카드,CARD,카드
ISSUE,카드,CARD,카드
ISSUE,기프트 카드,CARD,카드
ISSUE,체크 카드,CARD,카드
ISSUE,모바일 카드,CARD,카드
ISSUE,모바일 교통 카드,CARD,카드
ISSUE,교통 카드,CARD,카드
ISSUE,후불 카드,CARD,카드
ISSUE,선불 카드,CARD,카드
ISSUE,예금 계좌,BANK-ACCOUNT,통장 계좌
ISSUE,예금 통장,BANK-ACCOUNT,통장 계좌
ISSUE,적금 계좌,BANK-ACCOUNT,통장 계좌
ISSUE,적금 통장,BANK-ACCOUNT,통장 계좌
ISSUE,신규 계좌,BANK-ACCOUNT,통장 계좌
ISSUE,신규 통장,BANK-ACCOUNT,통장 계좌
ISSUE,기존 계좌,BANK-ACCOUNT,통장 계좌
ISSUE,기존 통장,BANK-ACCOUNT,통장 계좌
ISSUE,대출 계좌,BANK-ACCOUNT,통장 계좌
ISSUE,대출 통장,BANK-ACCOUNT,통장 계좌
ISSUE,청약 계좌,BANK-ACCOUNT,통장 계좌
ISSUE,청약 통장,BANK-ACCOUNT,통장 계좌
ISSUE,연금 계좌,BANK-ACCOUNT,통장 계좌
ISSUE,연금 통장,BANK-ACCOUNT,통장 계좌
ISSUE,펀드 계좌,BANK-ACCOUNT,통장 계좌
ISSUE,펀드 통장,BANK-ACCOUNT,통장 계좌
ISSUE,증권 계좌,BANK-ACCOUNT,통장 계좌
ISSUE,증권 통장,BANK-ACCOUNT,통장 계좌
ISSUE,주식 계좌,BANK-ACCOUNT,통장 계좌
ISSUE,주식 통장,BANK-ACCOUNT,통장 계좌
ISSUE,보험 계좌,BANK-ACCOUNT,통장 계좌
ISSUE,보험 통장,BANK-ACCOUNT,통장 계좌
ISSUE,계좌,BANK-ACCOUNT,통장 계좌
ISSUE,계좌 정보,BANK-ACCOUNT,통장 계좌
ISSUE,통장,BANK-ACCOUNT,통장 계좌
